partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank),interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
6194,20726,12,485,18492,2234,2805,0,0,0,275
6195,20728,12,485,18643,2085,2640,0,0,0,324
6196,20742,18,527,18204,2538,3234,0,0,0,0
6197,20768,16,699,18182,2586,3324,0,0,0,0
6198,20770,15,511,18517,2253,2966,0,0,0,0
6199,20785,17,378,18369,2416,3108,0,0,0,0
6200,20706,14,353,18401,2305,2978,0,0,0,0
6201,20684,13,533,18194,2490,3136,0,0,0,0
6202,20726,14,533,18279,2447,3114,0,0,0,0
6203,20781,18,574,18175,2606,3392,0,0,0,0
6204,20752,10,574,18751,2001,2587,0,0,0,505
6205,20735,10,459,18745,1990,2523,0,0,0,423
6206,20816,10,497,18920,1896,2424,0,0,0,524
6207,20729,13,449,18633,2096,2623,0,0,0,371
6208,20696,15,585,18160,2536,3288,0,0,0,0
6209,20794,16,501,18432,2362,3040,0,0,0,0
6210,20772,10,535,18841,1931,2454,0,0,0,658
6211,20787,19,535,18354,2433,3134,0,0,0,0
6212,20713,9,539,18810,1903,2392,0,0,0,490
6213,20892,15,539,18591,2301,2992,0,0,0,0
6214,20671,13,569,18246,2425,3040,0,0,0,0
6215,20723,12,461,18557,2166,2703,0,0,0,439
6216,20656,16,473,18145,2511,3102,0,0,0,0
6217,20843,17,375,18470,2373,3084,0,0,0,0
6218,20743,13,497,18580,2163,2758,0,0,0,328
6219,20759,16,492,18309,2450,3118,0,0,0,0
6220,20732,15,569,18216,2516,3274,0,0,0,0
6221,20739,17,390,18185,2554,3288,0,0,0,0
6222,20854,15,511,18439,2415,3104,0,0,0,0
6223,20728,19,467,18165,2563,3294,0,0,0,0
6224,20706,15,446,18355,2351,3050,0,0,0,0
6225,20747,16,452,18419,2328,3014,0,0,0,0
6226,20700,13,582,18284,2416,3102,0,0,0,0
6227,20691,16,582,18233,2458,3200,0,0,0,0
6228,20683,16,483,18247,2436,3130,0,0,0,0
6229,20760,14,491,18395,2365,3052,0,0,0,0
6230,20851,18,489,18345,2506,3218,0,0,0,0
6231,20872,14,489,18549,2323,3072,0,0,0,0
6232,20678,15,505,18094,2584,3240,0,0,0,0
6233,20692,14,741,18220,2472,3168,0,0,0,0
6234,20672,17,520,18276,2396,3010,0,0,0,0
6235,20740,16,481,18247,2493,3146,0,0,0,0
6236,20805,16,741,18198,2607,3362,0,0,0,0
6237,20566,15,561,18059,2507,3072,0,0,0,0
6238,20858,13,561,18418,2440,3138,0,0,0,0
6239,20648,17,465,18063,2585,3236,0,0,0,0
6240,20860,19,498,18315,2545,3318,0,0,0,0
6241,20821,16,451,18479,2342,3024,0,0,0,0
6242,20770,16,451,18441,2329,3038,0,0,0,0
6243,20635,15,449,17980,2655,3194,0,0,0,0
6244,20746,16,525,18225,2521,3244,0,0,0,0
6245,20768,15,525,18289,2479,3146,0,0,0,0
6246,20772,16,529,18361,2411,3076,0,0,0,0
6247,20794,16,612,18333,2461,3100,0,0,0,0
6248,20679,13,616,18236,2443,3036,0,0,0,0
6249,20673,14,616,18166,2507,3074,0,0,0,0
6250,20803,17,574,18276,2527,3242,0,0,0,0
6251,20747,21,529,18086,2661,3396,0,0,0,0
6252,20738,20,522,18100,2638,3368,0,0,0,0
6253,20751,17,522,18121,2630,3298,0,0,0,0
6254,20676,14,612,18350,2326,2924,0,0,0,0
6255,20744,15,551,18164,2580,3268,0,0,0,0
6256,20787,14,574,18413,2374,3108,0,0,0,0
6257,20740,11,640,18390,2350,3008,0,0,0,0
