Mon Apr 21 16:19:16, Info:  Using 1 threads 
Mon Apr 21 16:19:16, Info:  Mesh contains 1024 partitions 
Mon Apr 21 16:19:16, Info:  Min number of elements per partition: 165715 
Mon Apr 21 16:19:16, Info:  Avg number of elements per partition 186620 
Mon Apr 21 16:19:16, Info:  Max number of elements per partition 187227 
Mon Apr 21 16:19:16, Info:  Min number of MPI boundaries per partition: 3 
Mon Apr 21 16:19:16, Info:  Avg number of MPI boundaries per partition 12.582 
Mon Apr 21 16:19:16, Info:  Max number of MPI boundaries per partition 23 
Mon Apr 21 16:19:16, Info:  Min number of MPI boundary faces per partition: 5242 
Mon Apr 21 16:19:16, Info:  Avg number of MPI boundary faces per partition 12533.2 
Mon Apr 21 16:19:16, Info:  Max number of MPI boundary faces per partition 18364 
Mon Apr 21 16:19:16, Info:  printing statistics per partition. 
Mon Apr 21 16:19:16, Info:  dynamic rupture information is counted twice: as part of mpi_dr_faces and dynamic_rupture_faces. 
partition,#elements,#neighboring_ranks,max(#mpi_faces_per_neighboring_rank),#interior_elements,#mpi_elements,#mpi_faces,#mpi_dr_faces,#dynamic_rupture_faces,#free_surface_faces,#transparent_faces
250,186880,15,2200,175407,11473,14832,0,0,0,0
251,186992,16,1678,175731,11261,14436,0,0,0,0
252,186893,13,2577,176813,10080,12933,0,0,0,1407
253,186817,9,2577,177881,8936,11256,0,0,0,2792
254,187090,11,2029,177386,9704,12314,0,0,0,1514
255,186882,15,2023,175113,11769,15540,0,0,0,0
256,186997,12,1512,180058,6939,7803,0,0,10183,0
257,187001,9,1642,179559,7442,8616,0,0,9654,0
258,186951,17,2471,174952,11999,15136,0,0,0,0
259,186894,17,2471,175515,11379,14658,0,0,0,0
260,186944,9,1513,179263,7681,9019,0,0,7639,0
261,186999,13,1513,178443,8556,10215,0,0,6511,0
262,186860,16,2238,175305,11555,14654,0,0,0,0
263,186768,8,2094,179872,6896,7782,0,0,10410,0
264,186989,10,2833,177383,9606,12322,0,0,0,2440
265,186900,13,2833,174768,12132,15273,0,0,0,657
266,186999,16,2635,176174,10825,14558,0,0,0,0
267,186862,11,2635,177372,9490,11982,0,0,0,1834
268,186888,14,2719,174746,12142,15336,0,0,0,0
269,186779,15,2719,175201,11578,14848,0,0,0,0
270,186869,10,2505,177588,9281,11749,0,0,0,2675
271,186791,11,2505,176840,9951,12329,0,0,0,2129
272,186984,9,2502,178210,8774,11462,0,0,0,2780
273,186807,12,2571,175753,11054,13782,0,0,0,854
274,186993,16,2947,174226,12767,16370,0,0,0,0
275,186955,15,2947,174696,12259,15946,0,0,0,0
276,186959,11,3357,177775,9184,11580,0,0,0,4186
277,186953,11,3357,176808,10145,12768,0,0,0,1750
278,186992,10,2805,177502,9490,11973,0,0,0,2413
279,187145,13,2614,175984,11161,14323,0,0,0,709
280,187167,13,1796,178737,8430,10419,0,0,8167,0
281,187147,8,1687,180348,6799,8162,0,0,7644,1228
282,187041,9,1796,179558,7483,9061,0,0,8129,0
283,187071,10,1479,179416,7655,9138,0,0,7346,0
284,186135,6,2482,180350,5785,7011,0,0,7274,1959
285,186969,12,2482,177063,9906,11968,0,0,5984,0
286,186888,17,2274,175396,11492,14874,0,0,0,0
287,187070,8,1622,180330,6740,7750,0,0,9726,0
288,186784,11,2629,177409,9375,12235,0,0,0,1625
289,186754,16,2629,175003,11751,15328,0,0,0,0
290,186800,14,2261,175128,11672,15140,0,0,0,0
291,186771,11,2261,176610,10161,13020,0,0,0,1138
292,187077,17,3298,174360,12717,16239,0,0,0,799
293,186852,11,3298,177339,9513,11900,0,0,0,1882
294,186801,17,3010,174835,11966,15500,0,0,0,0
295,186830,15,2796,175442,11388,14736,0,0,0,0
296,186708,17,2535,175102,11606,14970,0,0,0,0
297,186828,13,2222,178269,8559,10113,0,0,7673,0
298,186886,8,2225,179031,7855,9303,0,0,7839,0
299,186745,16,2495,174557,12188,15522,0,0,0,0
300,186726,16,2789,174605,12121,15138,0,0,2130,0
301,186919,16,2789,174556,12363,15542,0,0,0,0
302,186879,10,1859,179451,7428,8712,0,0,8492,0
303,186892,12,1785,178979,7913,9424,0,0,8042,0
304,186591,10,1605,177797,8794,10597,0,0,6477,0
305,186517,12,1706,177971,8546,10368,0,0,6564,0
306,186425,11,1618,179008,7417,8999,0,0,7447,0
307,180820,9,1589,174462,6358,7410,0,0,9724,0
308,184902,13,2366,175838,9064,11436,0,0,5992,0
309,186605,17,2846,174524,12081,15582,0,0,0,0
310,186627,16,3496,175115,11512,14796,0,0,0,0
311,186537,18,3496,173734,12803,16538,0,0,0,0
312,186780,17,2690,175626,11154,14355,0,0,0,2085
313,186757,11,2199,177114,9643,12324,0,0,0,1660
314,186672,14,2681,175449,11223,14308,0,0,0,0
315,186630,14,2681,175020,11610,14930,0,0,0,0
316,186764,10,3159,177189,9575,12523,0,0,0,1793
317,186633,18,3159,174274,12359,15962,0,0,0,0
318,186705,14,2153,175450,11255,14398,0,0,0,0
319,186831,11,2199,177190,9641,12274,0,0,0,2654
320,186411,17,2375,174589,11822,15208,0,0,0,0
321,186440,9,1984,179436,7004,8000,0,0,10102,0
322,186506,11,1521,178888,7618,9116,0,0,8138,0
323,186581,7,1591,180556,6025,7293,0,0,6720,2151
324,186465,17,3538,175669,10796,14498,0,0,0,0
325,186523,14,3538,173879,12644,16254,0,0,0,0
326,186548,13,2192,175334,11214,15074,0,0,0,870
327,186544,11,2192,177811,8733,11486,0,0,0,2518
328,186655,13,1990,176675,9980,12540,0,0,0,1692
329,186517,12,2560,176562,9955,12974,0,0,0,1744
330,186716,14,3105,175340,11376,14528,0,0,0,0
331,186608,10,3105,176777,9831,12453,0,0,0,2139
332,186667,9,2841,176468,10199,12881,0,0,0,2027
333,186574,12,2398,176267,10307,13058,0,0,0,1516
334,186641,9,2936,176652,9989,12743,0,0,0,1421
335,186571,7,2936,178587,7984,9901,0,0,0,3991
336,186480,9,2020,178870,7610,9089,0,0,7751,0
337,186658,11,2020,178782,7876,9288,0,0,8580,0
338,186625,8,2225,178892,7733,9278,0,0,7826,0
339,186567,15,2225,177341,9226,11256,0,0,6134,0
340,186583,21,2694,174448,12135,15530,0,0,0,0
341,186494,17,2694,173472,13022,16290,0,0,0,0
342,186677,17,2292,175048,11629,14750,0,0,0,0
343,186833,13,2162,176772,10061,12575,0,0,0,1577
344,186534,8,2165,179092,7442,9103,0,0,7419,0
345,186492,12,2165,178482,8010,9500,0,0,8082,0
346,186459,12,2020,178096,8363,9947,0,0,8599,0
347,186482,15,2030,174407,12075,15175,0,0,1701,0
348,186454,15,2731,174611,11843,15262,0,0,0,0
349,186503,14,2731,175006,11497,15120,0,0,0,0
350,186476,11,1993,178047,8429,10266,0,0,7058,0
351,186504,21,2266,174180,12324,15694,0,0,2012,0
352,186495,10,2179,178433,8062,9603,0,0,7605,0
353,186645,10,2570,178665,7980,9497,0,0,7981,0
354,186369,9,2570,178126,8243,9832,0,0,7590,0
355,186464,9,2259,179385,7079,8218,0,0,8461,871
356,186781,9,2877,178539,8242,10177,0,0,4461,2188
357,186696,11,2877,179209,7487,8798,0,0,8578,0
358,183102,3,2429,177643,5459,6651,0,0,5449,3344
359,186686,9,2429,179812,6874,8280,0,0,5666,2254
360,186632,8,1878,179003,7629,9664,0,0,0,3150
361,186655,11,2841,176502,10153,13036,0,0,0,1380
362,186461,9,1591,180096,6365,7790,0,0,5563,2597
363,186585,14,2246,174392,12193,15798,0,0,0,578
364,186703,9,2282,178783,7920,10447,0,0,0,3523
365,186587,16,2645,174670,11917,15460,0,0,0,0
366,186650,10,3576,176569,10081,13004,0,0,0,2162
367,186639,6,3576,180234,6405,8386,0,0,0,5038
368,186867,15,3950,176058,10809,14000,0,0,0,1608
369,186828,6,3950,177722,9106,11511,0,0,0,2967
370,186819,16,2802,174432,12387,15777,0,0,0,557
371,186866,14,2802,175666,11200,14273,0,0,0,881
372,186833,8,3331,178697,8136,10336,0,0,0,3698
373,186705,12,3331,176087,10618,13113,0,0,0,1313
374,186697,15,2468,175354,11343,14676,0,0,0,0
375,186784,12,2468,176372,10412,13434,0,0,0,1498
376,186764,9,2168,179077,7687,9135,0,0,7999,0
377,186712,9,2168,178284,8428,10042,0,0,7212,0
378,186974,11,2118,177769,9205,11183,0,0,5735,0
379,186764,15,2086,175990,10774,13386,0,0,2850,0
380,186894,7,2471,180647,6247,7517,0,0,6533,2346
381,186951,10,2471,178921,8030,9519,0,0,8015,0
382,186878,7,2534,180855,6023,7150,0,0,6866,2904
383,186858,12,2534,178121,8737,10508,0,0,6854,0
384,186790,14,3064,175622,11168,14480,0,0,0,0
385,186686,21,3064,173432,13254,16684,0,0,0,0
386,186903,10,1958,178627,8276,9909,0,0,7211,0
387,186772,11,2022,178008,8764,10424,0,0,6758,0
388,186794,9,1958,179056,7738,9355,0,0,7469,0
389,186833,16,3097,174462,12371,15554,0,0,0,0
390,186740,15,3097,174752,11988,15444,0,0,0,0
391,186823,15,2930,175524,11299,14768,0,0,0,0
392,186818,21,1679,175115,11703,14830,0,0,0,0
393,186735,11,1679,179023,7712,8745,0,0,11059,0
394,186880,10,2112,179058,7822,9024,14,7346,0,0
395,186953,9,2112,179155,7798,8837,18,6114,4109,0
396,186819,12,2175,178279,8540,10202,0,0,7420,0
397,186951,9,2175,179778,7173,8376,0,0,9166,0
398,186664,15,2176,173946,12718,15900,0,0,1412,0
399,186708,16,2204,174768,11940,14587,0,0,2173,0
400,186915,10,3021,178025,8890,11456,0,0,0,2240
401,186740,14,3021,175280,11460,14510,0,0,0,0
402,186876,13,1986,176815,10061,12639,0,0,0,1679
403,187025,14,1882,176146,10879,13406,0,0,0,1066
404,186819,11,2861,177425,9394,11913,0,0,0,1959
405,187038,11,2861,177044,9994,12923,0,0,0,1433
406,186935,17,2315,175043,11892,15128,0,0,0,0
407,186827,19,2216,174652,12175,15816,0,0,0,0
408,187004,12,2523,176926,10078,12650,0,0,0,2758
409,186805,16,2352,174868,11937,15258,0,0,0,0
410,186756,11,2523,175997,10759,13649,0,0,0,609
411,186976,16,2532,175460,11516,15140,0,0,0,0
412,186963,16,1795,175522,11441,14716,0,0,0,0
413,186870,14,1862,175804,11066,14146,0,0,0,0
414,186712,17,1862,174205,12507,15788,0,0,0,0
415,186703,18,2204,175629,11074,14394,0,0,0,0
416,186577,14,1727,175347,11230,14676,0,0,0,0
417,186757,8,2046,178429,8328,9938,0,0,7514,0
418,186712,8,2055,178959,7753,9245,0,0,7991,0
419,186665,13,2208,177575,9090,11146,0,0,6490,0
