partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
249,400000,5,4000,381918,18082,18400,0,0,4000,0
250,400000,5,4000,381918,18082,18400,0,0,4000,0
251,400000,5,4000,381918,18082,18400,0,0,4000,0
252,400000,5,4000,381918,18082,18400,0,0,4000,0
253,400000,5,4000,381918,18082,18400,0,0,4000,0
254,400000,5,4000,381918,18082,18400,0,0,4000,0
255,400000,4,4000,385789,14211,14400,0,0,8000,0
256,400000,4,4000,385809,14191,14400,0,0,8000,0
257,400000,5,4000,381918,18082,18400,0,0,4000,0
258,400000,5,4000,381918,18082,18400,0,0,4000,0
259,400000,5,4000,381918,18082,18400,0,0,4000,0
260,400000,5,4000,381918,18082,18400,0,0,4000,0
261,400000,5,4000,381918,18082,18400,0,0,4000,0
262,400000,5,4000,381918,18082,18400,0,0,4000,0
263,400000,5,4000,381918,18082,18400,0,0,4000,0
264,400000,5,4000,381918,18082,18400,0,0,4000,0
265,400000,5,4000,381918,18082,18400,0,0,4000,0
266,400000,5,4000,381918,18082,18400,0,0,4000,0
267,400000,5,4000,381918,18082,18400,0,0,4000,0
268,400000,5,4000,381918,18082,18400,0,0,4000,0
269,400000,5,4000,381918,18082,18400,0,0,4000,0
270,400000,5,4000,381918,18082,18400,0,0,4000,0
271,400000,4,4000,385789,14211,14400,0,0,8000,0
272,400000,3,4000,388949,11051,11200,0,0,11200,0
273,400000,4,4000,385058,14942,15200,0,0,7200,0
274,400000,4,4000,385058,14942,15200,0,0,7200,0
275,400000,4,4000,385058,14942,15200,0,0,7200,0
276,400000,4,4000,385058,14942,15200,0,0,7200,0
277,400000,4,4000,385058,14942,15200,0,0,7200,0
278,400000,4,4000,385058,14942,15200,0,0,7200,0
279,400000,4,4000,385058,14942,15200,0,0,7200,0
280,400000,4,4000,385058,14942,15200,0,0,7200,0
281,400000,4,4000,385058,14942,15200,0,0,7200,0
282,400000,4,4000,385058,14942,15200,0,0,7200,0
283,400000,4,4000,385058,14942,15200,0,0,7200,0
284,400000,4,4000,385058,14942,15200,0,0,7200,0
285,400000,4,4000,385058,14942,15200,0,0,7200,0
286,400000,4,4000,385058,14942,15200,0,0,7200,0
287,400000,3,4000,388949,11051,11200,0,0,11200,0
288,400000,4,4000,384999,15001,15200,0,0,7200,0
289,400000,5,4000,381049,18951,19200,0,0,3200,0
290,400000,5,4000,381049,18951,19200,0,0,3200,0
291,400000,5,4000,381049,18951,19200,0,0,3200,0
292,400000,5,4000,381049,18951,19200,0,0,3200,0
293,400000,5,4000,381049,18951,19200,0,0,3200,0
294,400000,5,4000,381049,18951,19200,0,0,3200,0
295,400000,5,4000,381049,18951,19200,0,0,3200,0
296,400000,5,4000,381049,18951,19200,0,0,3200,0
297,400000,5,4000,381049,18951,19200,0,0,3200,0
298,400000,5,4000,381049,18951,19200,0,0,3200,0
299,400000,5,4000,381049,18951,19200,0,0,3200,0
300,400000,5,4000,381049,18951,19200,0,0,3200,0
301,400000,5,4000,381049,18951,19200,0,0,3200,0
302,400000,5,4000,381049,18951,19200,0,0,3200,0
303,400000,4,4000,384930,15070,15200,0,0,7200,0
304,400000,5,4000,381917,18083,18400,0,0,4000,0
305,400000,6,4000,378026,21974,22400,0,0,0,0
306,400000,6,4000,378026,21974,22400,0,0,0,0
307,400000,6,4000,378026,21974,22400,0,0,0,0
308,400000,6,4000,378026,21974,22400,0,0,0,0
309,400000,6,4000,378026,21974,22400,0,0,0,0
310,400000,6,4000,378026,21974,22400,0,0,0,0
311,400000,6,4000,378026,21974,22400,0,0,0,0
312,400000,6,4000,378026,21974,22400,0,0,0,0
313,400000,6,4000,378026,21974,22400,0,0,0,0
314,400000,6,4000,378026,21974,22400,0,0,0,0
315,400000,6,4000,378026,21974,22400,0,0,0,0
316,400000,6,4000,378026,21974,22400,0,0,0,0
317,400000,6,4000,378026,21974,22400,0,0,0,0
318,400000,6,4000,378026,21974,22400,0,0,0,0
319,400000,5,4000,381849,18151,18400,0,0,4000,0
320,400000,5,4000,381917,18083,18400,0,0,4000,0
321,400000,6,4000,378026,21974,22400,0,0,0,0
322,400000,6,4000,378026,21974,22400,0,0,0,0
323,400000,6,4000,378026,21974,22400,0,0,0,0
324,400000,6,4000,378026,21974,22400,0,0,0,0
325,400000,6,4000,378026,21974,22400,0,0,0,0
326,400000,6,4000,378026,21974,22400,0,0,0,0
327,400000,6,4000,378026,21974,22400,0,0,0,0
328,400000,6,4000,378026,21974,22400,0,0,0,0
329,400000,6,4000,378026,21974,22400,0,0,0,0
330,400000,6,4000,378026,21974,22400,0,0,0,0
331,400000,6,4000,378026,21974,22400,0,0,0,0
332,400000,6,4000,378026,21974,22400,0,0,0,0
333,400000,6,4000,378026,21974,22400,0,0,0,0
334,400000,6,4000,378026,21974,22400,0,0,0,0
335,400000,5,4000,381849,18151,18400,0,0,4000,0
336,400000,5,4000,381917,18083,18400,0,0,4000,0
337,400000,6,4000,378026,21974,22400,0,0,0,0
338,400000,6,4000,378026,21974,22400,0,0,0,0
339,400000,6,4000,378026,21974,22400,0,0,0,0
340,400000,6,4000,378026,21974,22400,0,0,0,0
341,400000,6,4000,378026,21974,22400,0,0,0,0
342,400000,6,4000,378026,21974,22400,0,0,0,0
343,400000,6,4000,378026,21974,22400,0,0,0,0
344,400000,6,4000,378026,21974,22400,0,0,0,0
345,400000,6,4000,378026,21974,22400,0,0,0,0
346,400000,6,4000,378026,21974,22400,0,0,0,0
347,400000,6,4000,378026,21974,22400,0,0,0,0
348,400000,6,4000,378026,21974,22400,0,0,0,0
349,400000,6,4000,378026,21974,22400,0,0,0,0
350,400000,6,4000,378026,21974,22400,0,0,0,0
351,400000,5,4000,381849,18151,18400,0,0,4000,0
352,400000,5,4000,381917,18083,18400,0,0,4000,0
353,400000,6,4000,378026,21974,22400,0,0,0,0
354,400000,6,4000,378026,21974,22400,0,0,0,0
355,400000,6,4000,378026,21974,22400,0,0,0,0
356,400000,6,4000,378026,21974,22400,0,0,0,0
357,400000,6,4000,378026,21974,22400,0,0,0,0
358,400000,6,4000,378026,21974,22400,0,0,0,0
359,400000,6,4000,378026,21974,22400,0,0,0,0
360,400000,6,4000,378026,21974,22400,0,0,0,0
361,400000,6,4000,378026,21974,22400,0,0,0,0
362,400000,6,4000,378026,21974,22400,0,0,0,0
363,400000,6,4000,378026,21974,22400,0,0,0,0
364,400000,6,4000,378026,21974,22400,0,0,0,0
365,400000,6,4000,378026,21974,22400,0,0,0,0
366,400000,6,4000,378026,21974,22400,0,0,0,0
367,400000,5,4000,381849,18151,18400,0,0,4000,0
368,400000,5,4000,381917,18083,18400,0,0,4000,0
369,400000,6,4000,378026,21974,22400,0,0,0,0
370,400000,6,4000,378026,21974,22400,0,0,0,0
371,400000,6,4000,378026,21974,22400,0,0,0,0
372,400000,6,4000,378026,21974,22400,0,0,0,0
373,400000,6,4000,378026,21974,22400,0,0,0,0
374,400000,6,4000,378026,21974,22400,0,0,0,0
375,400000,6,4000,378026,21974,22400,0,0,0,0
376,400000,6,4000,378026,21974,22400,0,0,0,0
377,400000,6,4000,378026,21974,22400,0,0,0,0
378,400000,6,4000,378026,21974,22400,0,0,0,0
379,400000,6,4000,378026,21974,22400,0,0,0,0
380,400000,6,4000,378026,21974,22400,0,0,0,0
381,400000,6,4000,378026,21974,22400,0,0,0,0
382,400000,6,4000,378026,21974,22400,0,0,0,0
383,400000,5,4000,381849,18151,18400,0,0,4000,0
384,400000,5,4000,381917,18083,18400,0,0,4000,0
385,400000,6,4000,378026,21974,22400,0,0,0,0
386,400000,6,4000,378026,21974,22400,0,0,0,0
387,400000,6,4000,378026,21974,22400,0,0,0,0
