partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
11933,9133,11,275,8118,1015,1158,0,0,434,0
11934,9064,7,275,8073,991,1106,0,0,630,0
11935,9037,8,303,7928,1109,1232,0,0,482,0
11936,9140,7,303,8136,1004,1129,0,0,537,0
11937,9084,10,199,8062,1022,1136,0,0,570,0
11938,9056,8,238,8022,1034,1143,0,0,385,0
11939,9140,7,238,8160,980,1103,0,0,535,0
11940,9137,19,279,7656,1481,1830,0,0,0,0
11941,9092,17,347,7658,1434,1868,0,0,0,0
11942,9141,20,289,7663,1478,1778,0,0,0,0
11943,9098,15,400,7638,1460,1978,0,0,0,0
11944,9103,18,400,7583,1520,2034,0,0,0,0
11945,9041,9,204,8037,1004,1082,0,0,542,0
11946,9094,8,257,8104,990,1101,0,0,461,0
11947,9048,8,219,8065,983,1094,0,0,404,0
11948,9053,8,287,8045,1008,1142,0,0,476,0
11949,9066,12,287,7896,1170,1280,0,0,398,0
11950,9103,16,252,7760,1343,1778,0,0,0,0
11951,9092,19,252,7693,1399,1850,0,0,0,0
11952,9117,17,293,7591,1526,1986,0,0,0,0
11953,9094,21,293,7599,1495,1884,0,0,0,0
11954,9089,12,288,7845,1244,1440,0,0,354,0
11955,9072,7,271,8088,984,1092,0,0,612,0
11956,9110,10,271,7978,1132,1302,0,0,402,0
11957,9067,10,225,8056,1011,1109,0,0,621,0
11958,9067,11,246,7874,1193,1347,0,0,459,0
11959,9136,10,246,8124,1012,1158,0,0,532,0
11960,9093,13,243,8021,1072,1218,0,0,520,0
11961,9000,10,212,7906,1094,1225,0,0,633,0
11962,9077,10,307,7921,1156,1298,0,0,574,0
11963,9031,13,302,7832,1199,1340,0,0,454,0
11964,9096,5,302,8199,897,1012,0,0,664,0
11965,9069,10,343,7983,1086,1216,0,0,546,0
11966,9032,10,231,7930,1102,1237,0,0,437,0
11967,9091,8,343,8034,1057,1201,0,0,579,0
11968,9097,15,307,7707,1390,1617,0,0,387,0
11969,9065,5,281,8135,930,1043,0,0,583,0
11970,9095,15,308,7683,1412,1826,0,0,0,0
11971,9112,20,295,7643,1469,1852,0,0,0,0
11972,9109,19,308,7688,1421,1788,0,0,0,0
11973,9112,16,207,7811,1301,1666,0,0,0,0
11974,9103,19,273,7590,1513,1948,0,0,0,0
11975,9131,18,347,7634,1497,1962,0,0,0,0
11976,9059,7,369,8100,959,1231,0,0,0,467
11977,9118,10,369,8033,1085,1381,0,0,0,335
11978,9164,12,313,7823,1341,1732,0,0,0,0
11979,8975,14,258,7653,1322,1700,0,0,0,78
11980,9092,12,299,7976,1116,1389,0,0,0,365
11981,9063,14,308,7702,1361,1728,0,0,0,98
11982,9133,10,287,7971,1162,1425,0,0,0,381
11983,9163,11,200,8051,1112,1450,0,0,0,290
11984,9107,13,338,7769,1338,1696,0,0,0,0
11985,9102,17,338,7645,1457,1890,0,0,0,0
11986,9120,9,326,8039,1081,1398,0,0,0,282
11987,9116,11,326,7810,1306,1653,0,0,0,167
11988,9085,14,316,7713,1372,1817,0,0,0,127
11989,9096,11,374,7993,1103,1425,0,0,0,427
11990,9113,14,374,7684,1429,1842,0,0,0,0
11991,9110,17,281,7691,1419,1800,0,0,0,0
11992,9094,16,312,7609,1485,1918,0,0,0,0
11993,9105,23,312,7314,1791,2354,0,0,0,0
11994,9104,15,362,7661,1443,1882,0,0,0,0
11995,9109,13,270,7751,1358,1756,0,0,0,0
11996,9129,8,383,8089,1040,1314,0,0,0,430
11997,9104,8,378,7965,1139,1411,0,0,0,339
11998,9098,17,309,7476,1622,2074,0,0,0,0
11999,9101,13,426,7714,1387,1787,0,0,0,113
12000,9086,11,426,7927,1159,1437,0,0,0,409
12001,9104,15,397,7669,1435,1874,0,0,0,0
12002,9098,16,397,7521,1577,2012,0,0,0,0
12003,9103,14,353,7723,1380,1816,0,0,0,0
12004,9084,12,353,7792,1292,1635,0,0,0,311
12005,9102,9,289,7928,1174,1496,0,0,0,240
12006,9064,7,345,8188,876,1099,0,0,0,529
12007,9101,11,383,7885,1216,1497,0,0,0,285
12008,9114,10,229,7978,1136,1508,0,0,0,238
12009,9161,8,358,8155,1006,1268,0,0,0,412
12010,9109,7,358,8115,994,1244,0,0,0,392
12011,9105,12,357,7647,1458,1873,0,0,0,107
12012,9126,16,317,7742,1384,1802,0,0,0,0
12013,9106,17,317,7645,1461,1872,0,0,0,0
12014,9041,12,357,7839,1202,1459,0,0,0,291
12015,9120,9,296,8115,1005,1231,0,0,0,425
12016,9155,14,346,7731,1424,1877,0,0,0,103
12017,9080,13,357,7745,1335,1666,0,0,0,170
12018,9116,11,357,7866,1250,1632,0,0,0,168
12019,9099,9,412,7954,1145,1458,0,0,0,228
12020,9121,12,278,7854,1267,1564,0,0,0,92
12021,9109,12,412,7768,1341,1662,0,0,0,272
12022,9108,16,252,7664,1444,1860,0,0,0,0
12023,9064,16,231,7692,1372,1770,0,0,0,0
12024,9084,18,288,7638,1446,1892,0,0,0,0
12025,9173,16,251,7732,1441,1896,0,0,0,0
12026,9095,14,264,7758,1337,1746,0,0,0,0
12027,9091,16,286,7764,1327,1716,0,0,0,0
12028,9106,17,324,7587,1519,1990,0,0,0,0
12029,9111,14,384,7639,1472,1930,0,0,0,0
12030,9097,13,324,7736,1361,1774,0,0,0,0
12031,9100,15,313,7689,1411,1870,0,0,0,0
12032,9096,17,435,7584,1512,1968,0,0,0,0
12033,9110,11,435,7748,1362,1782,0,0,0,0
12034,9102,17,251,7757,1345,1812,0,0,0,0
12035,9097,13,259,7721,1376,1796,0,0,0,0
12036,9094,15,259,7762,1332,1722,0,0,0,0
12037,9065,12,265,7899,1166,1406,0,0,0,320
12038,9132,11,265,8143,989,1232,0,0,0,444
12039,9116,11,289,8027,1089,1367,0,0,0,345
12040,9079,12,353,7766,1313,1620,0,0,0,202
12041,9105,12,353,7659,1446,1884,0,0,0,0
12042,9131,14,285,7772,1359,1786,0,0,0,0
12043,9106,19,285,7623,1483,1922,0,0,0,0
12044,9100,16,288,7716,1384,1798,0,0,0,0
12045,9117,15,278,7681,1436,1800,0,0,0,0
12046,9158,14,293,7822,1336,1713,0,0,0,71
12047,9096,12,344,7979,1117,1350,0,0,0,330
12048,9099,15,344,7608,1491,1888,0,0,0,92
12049,9097,17,269,7632,1465,1882,0,0,0,0
12050,9087,17,320,7687,1400,1824,0,0,0,0
12051,9113,14,328,7672,1441,1840,0,0,0,0
12052,9102,16,320,7663,1439,1834,0,0,0,0
12053,9111,15,314,7663,1448,1826,0,0,0,0
12054,9129,14,325,7690,1439,1884,0,0,0,0
12055,9100,15,295,7706,1394,1860,0,0,0,0
12056,9100,15,384,7554,1546,2048,0,0,0,0
12057,9098,17,378,7722,1376,1788,0,0,0,0
12058,9112,18,313,7675,1437,1874,0,0,0,0
12059,9141,14,313,7753,1388,1810,0,0,0,0
12060,9142,17,296,7726,1416,1788,0,0,0,0
12061,9183,16,302,7806,1377,1810,0,0,0,0
12062,9104,17,296,7622,1482,1884,0,0,0,0
12063,9036,9,387,7844,1192,1430,0,0,0,388
12064,9104,13,387,7756,1348,1730,0,0,0,0
12065,9124,11,274,7836,1288,1634,0,0,0,180
12066,9102,15,258,7723,1379,1776,0,0,0,0
12067,9115,11,280,7834,1281,1618,0,0,0,182
12068,9134,14,359,7906,1228,1589,0,0,0,197
12069,9154,13,302,7765,1389,1796,0,0,0,90
